searge,name,side,desc
func_100011_g,getIsPotionDurationMax,0,
func_100012_b,setPotionDurationMax,0,Toggle the isPotionDurationMax field.
func_100015_a,isKeyDown,0,Returns whether the specified key binding is currently being pressed.
func_104002_bU,isNoDespawnRequired,2,
func_104055_i,setForceGamemode,1,
func_104056_am,getForceGamemode,2,
func_104112_b,saveExtraData,2,"Save extra data not associated with any Chunk.  Not saved during autosave, only during world unload.  Currently unimplemented."
func_104140_m,saveChunkData,2,saves chunk data - currently only called during execution of the Save All command
func_110121_a,isNullOrEmpty,0,
func_110123_P,onChunkLoad,2,
func_110124_au,getUniqueID,2,
func_110128_b,onBroken,2,Called when this entity is broken. Entity parameter may be null.
func_110131_b,removeFrameFromMap,2,Removes the dot representing this frame's position from the map when the item frame is broken.
func_110133_a,setCustomName,2,Sets the name of this inventory. This is displayed to the client on opening.
func_110138_aP,getMaxHealth,2,
func_110139_bj,getAbsorptionAmount,2,
func_110140_aT,getAttributeMap,2,
func_110142_aN,getCombatTracker,2,
func_110143_aJ,getHealth,2,
func_110144_aD,getLastAttacker,2,
func_110145_l,dismountEntity,2,Moves the entity to a position out of the way of its mount.
func_110147_ax,applyEntityAttributes,2,
func_110148_a,getEntityAttribute,2,
func_110149_m,setAbsorptionAmount,2,
func_110159_bB,updateLeashedState,2,"Applies logic related to leashes, for example dragging the entity or breaking the leash."
func_110160_i,clearLeashed,2,Removes the leash from this entity. Second parameter tells whether to send a packet to surrounding players.
func_110162_b,setLeashedToEntity,2,Sets the entity to be leashed to.
func_110163_bv,enablePersistence,2,Enable the Entity persistence
func_110164_bC,allowLeashing,2,
func_110165_bF,recreateLeash,2,
func_110166_bE,getLeashedToEntity,2,
func_110167_bD,getLeashed,2,
func_110173_bK,isWithinHomeDistanceCurrentPosition,2,
func_110174_bM,getMaximumHomeDistance,2,
func_110175_bO,hasHome,2,Returns whether a home area is defined for this entity.
func_110177_bN,detachHome,2,
func_110195_a,addGrowth,2,"""Adds the value of the parameter times 20 to the age of this entity. If the entity is an adult (if the entity's age is greater than 0), it will have no effect."""
func_110198_t,increaseTemper,2,
func_110199_f,openGUI,2,
func_110200_cJ,canMate,2,"Return true if the horse entity ready to mate. (no rider, not riding, tame, adult, not steril...)"
func_110202_bQ,getHorseVariant,2,
func_110204_cc,isEatingHaystack,2,
func_110206_u,setJumpPower,2,
func_110207_m,setChested,2,
func_110208_b,setHorseWatchableBoolean,2,
func_110209_cd,isRearing,2,
func_110212_cp,getVariantTexturePaths,0,
func_110214_p,setHorseType,2,
func_110215_cj,getHorseJumpStrength,2,
func_110216_r,spawnHorseParticles,0,"""Spawns particles for the horse entity. par1 tells whether to spawn hearts. If it is false, it spawns smoke."""
func_110217_cl,getAngrySoundName,2,
func_110218_cm,getMaxTemper,2,
func_110219_q,setRearing,2,
func_110220_cK,makeHorseRear,2,
func_110221_n,setHasReproduced,2,
func_110222_cv,isSterile,2,Return true if the horse entity is sterile (Undead || Mule)
func_110223_p,getRearingAmount,0,
